,BINOMIAL:,CITATION:,FAMILY:,GENUS:,COMMON:,TSN:,IUCN_ID:,ORDER:,IUCN_STATUS:,CLASS:
scleroptila levaillantii,Scleroptila levaillantii,Birdlife International 2011,PHASIANIDAE,Francolinus,Red-winged Francolin,175984,22678769,GALLIFORMES,LC,AVES
scleroptila streptophora,Scleroptila streptophora,Birdlife International 2011,PHASIANIDAE,Francolinus,Ring-necked Francolin,175999,22678756,GALLIFORMES,NT,AVES
spilopelia chinensis,Spilopelia chinensis,Birdlife International 2011,COLUMBIDAE,Spilopelia,Eastern Spotted Dove,177134,60482887,COLUMBIFORMES,LC,AVES
talegalla cuvieri,Talegalla cuvieri,Birdlife International 2011,MEGAPODIIDAE,Talegalla,Red-billed Brush-turkey,175706,22678564,GALLIFORMES,LC,AVES
talegalla fuscirostris,Talegalla fuscirostris,Birdlife International 2011,MEGAPODIIDAE,Talegalla,Black-billed Brush-turkey,553820,22678568,GALLIFORMES,LC,AVES
talegalla jobiensis,Talegalla jobiensis,Birdlife International 2011,MEGAPODIIDAE,Talegalla,Brown-collared Brush-turkey,175708,22678572,GALLIFORMES,LC,AVES
tetraogallus altaicus,Tetraogallus altaicus,Birdlife International 2011,PHASIANIDAE,Tetraogallus,Altai Snowcock,175950,22678670,GALLIFORMES,LC,AVES
tetraogallus caspius,Tetraogallus caspius,Birdlife International 2011,PHASIANIDAE,Tetraogallus,Caspian Snowcock,175951,22678664,GALLIFORMES,LC,AVES
tetraogallus caucasicus,Tetraogallus caucasicus,Birdlife International 2011,PHASIANIDAE,Tetraogallus,Caucasian Snowcock,553829,22678661,GALLIFORMES,LC,AVES
tetraogallus himalayensis,Tetraogallus himalayensis,Birdlife International 2011,PHASIANIDAE,Tetraogallus,Himalayan Snowcock,175953,22678673,GALLIFORMES,LC,AVES
tetraogallus tibetanus,Tetraogallus tibetanus,Birdlife International 2011,PHASIANIDAE,Tetraogallus,Tibetan Snowcock,175954,22678667,GALLIFORMES,LC,AVES
tetraophasis obscurus,Tetraophasis obscurus,Birdlife International 2011,PHASIANIDAE,Tetraophasis,Chestnut-throated Partridge,175956,22678676,GALLIFORMES,LC,AVES
tetraophasis szechenyii,Tetraophasis szechenyii,Birdlife International 2011,PHASIANIDAE,Tetraophasis,Buff-throated Partridge,175957,22678680,GALLIFORMES,LC,AVES
turdus migratorius,Turdus migratorius,"Linnaeus, 1766",TURDIDAE,Turdus,American Robin,179759,22708958,PASSERIFORMES,LC,AVES
vanellus indicus,Vanellus indicus,Vanellus indicus,CHARADRIIDAE,Vanellus,Red-wattled Lapwing,176489,22694013,CHARADRIIFORMES,LC,AVES
zoothera mollissima,Zoothera mollissima,IUCN (International Union for the Conservation of Nature),TURDIDAE,Zoothera,Alpine Thrush,563802,103879258,PASSERIFORMES,LC,AVES
